“à•”ID,ŠO•”ID
12868,1009_20210802_F_DbfA150010
12869,1021_20210802_DemA0104JP01
12870,1004_20210802_F_DemA060010
12871,1010_20210802_DbbA0101JP01
12872,1010_20210802_DnpA0101JP01
12873,1010_20210802_DnpA0102JP01
12874,1010_20210802_DnpA0104JP01
12875,1010_20210802_DnpA0103JP01
12876,1010_20210802_DscA0102JP10
12877,1011_20210802_F_DnpA005010
12878,1012_20210802_F_DuvA025010
12879,1006_20210802_DnpA0105JP01
12880,1002_20210802_DrbA0101JP01
12881,1010_20210802_DscA0101JP10
12882,1023_20210802_DnpA0106JP01
12883,1023_20210802_DbbA0102JP01
12884,1023_20210802_DscA0103JP10
12885,1023_20210802_DesB0104JP01
12886,1017_20210802_F_DedA180010
12887,1012_20210802_F_DcrA030010
12888,1010_20210802_DbrA0201JP01
12889,1021_20210802_DbyA0102JP01
12890,1013_20210802_F_DbyA090010
12892,1021_20210802_DrbA0102JP01
12893,1660_20210802_ScfA0102JP01
12894,1660_20210802_ScfA0101JP01
12895,1026_20210802_CpwA0303JP01
12896,1026_20210802_CpwA0301JP01
12897,1026_20210802_CpwA0302JP01
12898,1026_20210802_CplA0302JP01
12899,1026_20210802_CplA0301JP01
12900,1328_20210802_CpwA0304JP01
12901,1260_20210802_CpzA0204JP01
12902,1260_20210802_CpwB0204JP01
12903,1260_20210802_CplC0204JP01
12904,1013_20210802_F_DbbA030010
12905,1024_20210802_SloA0201JP01
12906,1024_20210802_SloA0203JP01
12907,1024_20210802_SloA0202JP01
12908,1005_20210802_F_DbhA090010
12910,1260_20210802_CpzA0203JP01
12911,1260_20210802_CpwB0203JP01
12912,1260_20210802_CplC0203JP01
12913,1652_20210802_F_DbwA040010
12914,1644_20210802_DsbA0103JP01
12915,1020_20210802_CpcA0103JP01
12916,1601_20210802_SmmA0101JP01
12917,1013_20210802_F_DbrA090010
12918,1601_20210802_SloA0204JP01
12919,1601_20210802_ScfA0103JP01
12920,1013_20210802_F_DrlA120010
12921,1021_20210802_DrlA0104JP01
12924,1652_20210802_F_DbwA027020
12925,1010_20210802_DomA0103JP01
12926,1010_20210802_DamA0101JP01
12927,1010_20210802_DamA0102JP01
12928,1284_20210802_F_DamA048010
12929,1010_20210802_CpcA0101JP01
12930,1026_20210802_CpcA0102JP01
12931,1673_20210802_F_CpcA058010
12932,1389_20210802_DrsA0103JP01
12933,1601_20210802_StkA0202JP01
12934,1601_20210802_StkA0204JP01
12935,1601_20210802_StkA0201JP01
12936,1026_20210802_CpwB0202JP01
12937,1026_20210802_CpwB0201JP01
12938,1026_20210802_CplC0201JP01
12939,1014_20210802_F_CplC010010
12940,1660_20210802_SspA0101JP01
12941,1024_20210802_DrlA0201JP01
12942,1024_20210802_DrlA0202JP01
12943,1644_20210802_DrlA0203JP01
12944,1013_20210802_F_DrlA020010
12945,1013_20210802_F_DrlA180010
12946,1023_20210802_DyrA0203JP01
12947,1468_20210802_F_DyrA090010
12948,1020_20210802_IwlA0104JP01
12952,1010_20210802_ScrA0401JP01
12953,1601_20210802_ScrA0402JP01
12954,1391_20210802_F_ScrA075010
12955,1601_20210802_SspA0102JP01
12956,1601_20210802_SbeA0203JP01
12957,1601_20210802_SbeA0202JP01
12958,1601_20210802_SbeA0104JP01
12959,1601_20210802_SbeA0103JP01
